Finding ID,Title,Description,Severity,Status,Owner,Business Unit,Domain,Technology,Root Cause,Risk Category,Created Date,Due Date,Closure Date,Environment,Asset Criticality,Internet Facing
CSBD-001,Missing MFA enforcement for VPN users,VPN access does not enforce MFA for privileged users,High,Open,ICT Network,Digital Channels,Remote Access,Fortinet VPN,Weak authentication,Remote Access Security,2026-01-10,2026-03-01,,Production,Critical,Yes
CSBD-002,Broad firewall rule exposure,Firewall rules allow Any-Any traffic between environments,High,Open,ICT Network,Retail Banking,Network,Firewall,Lack of segmentation,Network Security,2026-02-01,2026-04-01,,Production,High,Internal
CSBD-003,Lack of service-to-service encryption,Internal microservice traffic is not protected with mTLS,Medium,In Progress,Digital Banking,Digital Channels,OpenShift,Kubernetes,Missing encryption,Cryptography,2026-02-20,2026-05-01,,Production,High,Internal
CSBD-004,Insufficient logging retention,Security logs are retained for less than policy requirement,Medium,Open,SOC,Risk Management,Monitoring,SIEM,Retention gap,Detection,2026-03-10,2026-04-20,,Production,Medium,Internal
CSBD-005,Public cloud storage exposure,Sensitive files stored in publicly accessible cloud bucket,Critical,Open,Cloud Team,Corporate Banking,Cloud,AWS S3,Misconfiguration,Cloud Security,2026-04-01,2026-04-15,,Production,Critical,Yes
CSBD-006,Weak API authentication,APIs rely on static tokens without rotation,High,Open,Digital Banking,Payments,Application,API Gateway,Poor token governance,API Security,2026-04-05,2026-05-15,,Production,Critical,Yes
CSBD-007,Missing Kubernetes Network Policies,Pods communicate without namespace segmentation restrictions,High,Open,Cloud Team,Payments,OpenShift,Kubernetes,Lack of segmentation,Container Security,2026-04-08,2026-05-10,,Production,Critical,Internal
CSBD-008,Missing CIS hardening,Servers do not comply with CIS benchmark,Medium,Open,Systems Administration,Treasury,Infrastructure,Windows Server,Missing hardening,Hardening,2026-03-01,2026-06-01,,Production,High,Internal
CSBD-009,Excessive Active Directory privileges,Users assigned Domain Admin unnecessarily,Critical,Open,Systems Administration,Corporate Banking,IAM,Active Directory,Poor access control,Identity,2026-02-15,2026-03-15,,Production,Critical,Internal
CSBD-010,Shared administrative accounts,Multiple administrators use same local admin account,High,Risk Accepted,Systems Administration,Retail Banking,PAM,Windows Server,Weak governance,Privileged Access,2026-01-20,2026-03-20,,Production,High,Internal
